NOTA_CN,NOTA_MT,NOTA_LC,NOTA_CH,NOTA_REDACAO,nota_final
458.0,471.8,536.6,577.9,900.0,588.86
443.0,432.1,383.8,395.2,540.0,438.82000000000005
472.4,598.9,668.5,634.9,920.0,658.9399999999999
460.2,581.6,558.5,601.7,800.0,600.4
518.5,493.1,549.0,578.5,600.0,547.8199999999999
568.0,654.1,608.3,673.6,900.0,680.8
601.8,561.4,593.7,676.8,760.0,638.74
581.5,688.9,575.2,632.3,660.0,627.58
636.5,690.1,607.9,392.3,940.0,653.36
528.9,542.0,563.5,593.0,640.0,573.48
446.2,542.7,514.8,570.8,660.0,546.9
469.2,472.5,542.6,597.9,620.0,540.44
527.7,488.6,598.3,602.8,720.0,587.4799999999999
465.7,520.6,546.7,515.5,580.0,525.7
489.1,604.4,576.3,594.8,760.0,604.92
633.6,678.4,616.1,691.5,720.0,667.92
468.3,455.1,499.4,528.8,660.0,522.32
386.3,593.0,513.2,577.3,660.0,545.96
421.1,474.2,477.0,466.8,580.0,483.82
537.2,581.0,532.3,598.9,780.0,605.88
583.1,621.9,522.3,589.1,580.0,579.28
572.0,420.4,593.1,588.3,720.0,578.76
369.4,554.3,480.1,420.9,540.0,472.93999999999994
514.6,605.8,589.2,573.2,620.0,580.5600000000001
467.6,547.1,577.9,646.7,640.0,575.86
512.8,461.2,394.8,400.8,640.0,481.91999999999996
776.7,915.7,777.2,808.6,940.0,843.6400000000001
456.3,514.0,458.7,508.2,540.0,495.43999999999994
532.2,602.3,553.9,546.0,900.0,626.88
488.4,506.5,569.9,587.7,640.0,558.5
444.0,447.4,448.8,482.1,540.0,472.46000000000004
451.3,535.3,394.2,471.2,700.0,510.4
592.5,627.3,589.6,588.9,760.0,631.6600000000001
435.4,539.6,517.5,498.8,740.0,546.26
513.5,528.7,484.1,574.5,700.0,560.1600000000001
497.3,416.0,549.0,602.1,680.0,548.88
437.8,609.5,585.7,610.9,540.0,556.78
474.2,405.4,565.4,535.9,580.0,512.1800000000001
508.9,418.4,517.8,400.1,620.0,493.03999999999996
482.1,488.4,324.6,492.0,440.0,445.41999999999996
577.5,617.9,646.3,672.2,740.0,650.78
529.7,450.5,516.0,493.7,520.0,501.98
430.7,608.0,590.2,619.0,620.0,573.58
572.7,743.4,596.9,631.1,700.0,648.8199999999999
