TP_FAIXA_ETARIA,SEXO,TP_COR_RACA,TP_ESCOLA,MUNIC_ESCOLA,SG_UF_ESC,NO_MUNICIPIO_PROVA,UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,NOTA_REDACAO,nota_final
18 anos,F,Branco,Pública,São Bernardo do Campo,SP,Santo André,SP,1,1,1,1,614.4,771.6,636.5,769.5,820.0,722.4
17 anos,F,Branco,Privada,São Paulo,SP,Santo André,SP,1,1,1,1,420.3,514.4,501.2,424.9,620.0,496.16
18 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,682.1,711.2,651.7,789.1,880.0,742.82
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,525.4,531.4,506.9,630.0,900.0,618.74
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,496.9,574.6,564.6,551.0,700.0,577.42
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,424.3,411.4,475.5,404.4,480.0,439.12
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,496.9,429.1,429.4,476.0,0.0,366.28000000000003
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,519.7,471.9,516.3,582.0,520.0,521.98
19 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,626.6,654.9,615.5,688.4,860.0,689.08
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,569.5,617.5,566.6,540.6,800.0,618.8399999999999
20 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,434.2,465.3,508.7,441.2,480.0,465.87999999999994
17 anos,F,Branco,Pública,São Caetano do Sul,SP,Santo André,SP,1,1,1,1,419.9,407.8,475.6,521.5,560.0,476.96000000000004
19 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,578.3,540.5,600.1,690.0,860.0,653.78
